frame_index,filename,ros_sec,ros_nanosec,timestamp_ns,timestamp_s,robot_x_m,robot_y_m,displacement_m
43,frame_000043_14917000000.png,14,917000000,14917000000,14.917,0.43515739797802483,0.0014534069392160686,0.43515739797802494
44,frame_000044_14950000000.png,14,950000000,14950000000,14.95,0.4528847625392009,0.0015627699548216385,0.452884762539201
45,frame_000045_14983000000.png,14,983000000,14983000000,14.983,0.47066770429802596,0.0016736879206998064,0.47066770429802607
46,frame_000046_15016000000.png,15,16000000,15016000000,15.016,0.4795817957301145,0.0017296560646233746,0.4795817957301146
47,frame_000047_15049000000.png,15,49000000,15049000000,15.049,0.488511601277112,0.0017859282874052467,0.48851160127711213
48,frame_000048_15082000000.png,15,82000000,15082000000,15.082,0.5064193338700074,0.0018992910092457001,0.5064193338700075
49,frame_000049_15115000000.png,15,115000000,15115000000,15.115,0.524391414791642,0.0020136070255961412,0.5243914147916421
50,frame_000050_15148000000.png,15,148000000,15148000000,15.148,0.5424262418848615,0.00212873615510032,0.5424262418848617
51,frame_000051_15181000000.png,15,181000000,15181000000,15.181,0.5514661873875998,0.0021865690879170336,0.5514661873875999
52,frame_000052_15214000000.png,15,214000000,15214000000,15.214,0.5695883356563238,0.0023027116383953082,0.5695883356563239
